nvd_vendor,nvd_name,metasploit
tiki,tikiwiki_cms\/groupware,tikiwiki
wordpress,wordpress,wordpress
sixapart,movabletype,movabletype
lockon,ec-cube,ec-cube
xoops,xoops,xoops
drupal,drupal,drupal
joomla,joomla\!,joomla
typo3,typo3,typo3
site_publis,site_publis,site_publis
oscommerce,oscommerce,oscommerce
apache,tomcat,tomcat
apache,coyote_http_connector,coyote
apache,struts,struts
adobe,coldfusion,coldfusion
bea_systems,webLogic,weblogic
jboss,jboss,jboss
oracle,application_server,oracle
redhat,enterprise_linux,redhat
ubuntu,ubuntu_linux,ubuntu
centos,centos,centos
unix,unix,unix
microsoft,windows,windows
apache,http_server,apache
nginx,nginx,nginx
microsoft,internet_information_server,iis
ibm,http_server,ibm
f5,big-ip,bigip
minihttpserver.net,web_forums_server,minihttp
php,php,php
microsoft,asp.net,asp
phpmyadmin,phpmyadmin,phpmyadmin
squirrelmail,squirrelmail,squirrelmail
openssl,openssl,openssl
mod_ssl,mod_ssl,mod_ssl
bitforest,scutum,scutum
sugarcrm,sugarcrm,sugarcrm
apache,subversion,subversion
roundcube,webmail,webmail
awstats,awstats,awstats
webmin,webmin,webmin
phpbb,phpbb,phpbb
mediawiki,mediawiki,mediawiki
